Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"05/01/2015","9 ERRIS GARDENS, CROSSMOLINA, MAYO","","Mayo","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","93 NEW STREET, BALLINROBE, COUNTY MAYO","","Mayo","€57,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","97 JOLLY MARINER, COOSAN RD, ATHLONE","","Westmeath","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","Abbotsford, Brighton Road, Foxrock","Dublin 18","Dublin","€1,739,391.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","ARD NA GREINE, CLONROADMORE, ENNIS","","Clare","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","BALLINAPARK, BALLYGLUNIN, TUAM","","Galway","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","BOHERCROWE, LIMERICK RD, TIPPERARY TOWN","","Tipperary","€150,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","CREEVAGHY, CLONES, MONAGHAN","","Monaghan","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","DICKSGROVE, CURROW, KILLARNEY","","Kerry","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","DOUGHMAKEON, LOUISBURGH, CO MAYO","","Mayo","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","DRUMGILL, DRUMCONRATH, CO MEATH","","Meath","€140,969.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","G120 BRU NA SIONNA, SHANNON, CLARE","","Clare","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","HARBOUR LIGHTS, BALLINCAR, SLIGO","","Sligo","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","KNOCKMASCAHILL, CREGGS, CO GALWAY","","Galway","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","KNOCKROE, CASTLEREA, CO ROSCOMMON","","Roscommon","€48,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","NAVAN GATE, TRIM, MEATH","","Meath","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","no 1 melview glen, knockawalky, longford","","Longford","€185,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2015","NO 22 HAWTHORNE DRIVE, CABRA ROAD, THURLES","","Tipperary","€52,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","OLD GORT ROAD, ENNIS, CO. CLARE","","Clare","€78,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","Rose Cottage, Newcastle, Oldcastle","","Meath","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","The Grange, 1 and 2 FITZWILLIAM PLACE NORTH, DUBLIN 7","Dublin 7","Dublin","€354,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","1 Derravaragh Mews, Coole Road, Castlepollard","","Westmeath","€64,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","1 PARNELL RD, ENNISCORTHY, WEXFORD","","Wexford","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","10 ORIEL COVE, CLOGHERHEAD, LOUTH","","Louth","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","104 ASHFIELD, LETTERKENNY, COUNTY DONEGAL","","Donegal","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","108 RATHLIN HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER","Dublin 1","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","11 SHERWOOD, POLLERTON BIG, CARLOW","","Carlow","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","116 Arraview, Newcastle West, Co. Limerick","","Limerick","€33,480.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"06/01/2015","119 Lwr Churchtown Rd, Dundrum","","Dublin","€371,999.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","126 KILMACUD ROAD LOWER, STILLORGAN","","Dublin","€620,000.00","No","No","Second-Hand Dwelling house /Apartment",""
